Noah; Williams; noah.williams@travel-sabre.com; ORD; SLC; UA; 521; Business; oneWay; 2014-01-02; 
Noah; Williams; noah.williams@travel-sabre.com; SLC; ORD; UA; 125; Business; oneWay; 2014-01-06; 
Noah; Williams; noah.williams@travel-sabre.com; MEL; HBA; NZ; 7888; Premium Economy; roundTrip; 2014-01-13; 2014-01-18
Noah; Williams; noah.williams@travel-sabre.com; MUC; KRK; LH; 1624; Business; roundTrip; 2014-01-26; 2014-02-02
Noah; Williams; noah.williams@travel-sabre.com; MEL; AUH; VA; 7095; First; roundTrip; 2014-02-07; 2014-02-10
Noah; Williams; noah.williams@travel-sabre.com; MEL; ADL; HX; 3157; First; roundTrip; 2014-02-18; 2014-02-21
Noah; Williams; noah.williams@travel-sabre.com; GRU; IGU; O6; 6182; Business; roundTrip; 2014-03-02; 2014-03-06
Noah; Williams; noah.williams@travel-sabre.com; HKG; SIN; SQ; 1; First; oneWay; 2014-03-14; 
Noah; Williams; noah.williams@travel-sabre.com; SIN; HKG; SQ; 1; First; oneWay; 2014-03-19; 
Noah; Williams; noah.williams@travel-sabre.com; LAX; ORD; UA; 269; Premium Economy; roundTrip; 2014-03-27; 2014-03-30
Noah; Williams; noah.williams@travel-sabre.com; HKG; DEL; JL; 7933; Economy; oneWay; 2014-04-07; 
Noah; Williams; noah.williams@travel-sabre.com; DEL; HKG; JL; 3397; Economy; oneWay; 2014-04-11; 
Noah; Williams; noah.williams@travel-sabre.com; MEL; BNE; SQ; 6614; First; oneWay; 2014-04-20; 
Noah; Williams; noah.williams@travel-sabre.com; BNE; MEL; SQ; 4166; First; oneWay; 2014-04-25; 
Noah; Williams; noah.williams@travel-sabre.com; MEL; BNE; JQ; 560; Premium Economy; roundTrip; 2014-05-02; 2014-05-05
Noah; Williams; noah.williams@travel-sabre.com; HKG; TPE; CX; 494; Business; roundTrip; 2014-05-14; 2014-05-19
Noah; Williams; noah.williams@travel-sabre.com; ORD; BNA; AS; 4558; First; oneWay; 2014-05-26; 
Noah; Williams; noah.williams@travel-sabre.com; BNA; ORD; AS; 8554; First; oneWay; 2014-05-30; 
Noah; Williams; noah.williams@travel-sabre.com; LAX; ORD; SK; 3920; Premium Economy; roundTrip; 2014-06-07; 2014-06-12
Noah; Williams; noah.williams@travel-sabre.com; GRU; REC; AR; 7624; Premium Economy; oneWay; 2014-06-19; 
Noah; Williams; noah.williams@travel-sabre.com; REC; GRU; AR; 4267; Premium Economy; oneWay; 2014-06-22; 
Noah; Williams; noah.williams@travel-sabre.com; ORD; ABQ; UA; 1515; Premium Economy; oneWay; 2014-07-01; 
Noah; Williams; noah.williams@travel-sabre.com; ABQ; ORD; UA; 5151; Premium Economy; oneWay; 2014-07-05; 
Noah; Williams; noah.williams@travel-sabre.com; ORD; DFW; AC; 5186; First; roundTrip; 2014-07-12; 2014-07-16
Noah; Williams; noah.williams@travel-sabre.com; DFW; IAD; AA; 2354; Business; roundTrip; 2014-07-24; 2014-07-28
Noah; Williams; noah.williams@travel-sabre.com; DXB; CAI; EK; 925; Economy; roundTrip; 2014-08-05; 2014-08-09
Noah; Williams; noah.williams@travel-sabre.com; MEL; SYD; BA; 7450; Economy; roundTrip; 2014-08-17; 2014-08-23
Noah; Williams; noah.williams@travel-sabre.com; DXB; YYZ; UA; 8073; Economy; oneWay; 2014-08-29; 
Noah; Williams; noah.williams@travel-sabre.com; YYZ; DXB; UA; 3708; Economy; oneWay; 2014-09-01; 
Noah; Williams; noah.williams@travel-sabre.com; ORD; ATL; 9W; 8438; First; oneWay; 2014-09-10; 
Noah; Williams; noah.williams@travel-sabre.com; ATL; ORD; 9W; 8348; First; oneWay; 2014-09-17; 
Noah; Williams; noah.williams@travel-sabre.com; LAX; MTY; DL; 7990; Premium Economy; oneWay; 2014-09-23; 
Noah; Williams; noah.williams@travel-sabre.com; MTY; LAX; DL; 0997; Premium Economy; oneWay; 2014-09-27; 
Noah; Williams; noah.williams@travel-sabre.com; LAX; MEX; AA; 2546; Premium Economy; oneWay; 2014-10-05; 
Noah; Williams; noah.williams@travel-sabre.com; ATL; BNA; AM; 4056; Premium Economy; roundTrip; 2014-10-17; 2014-10-21
Noah; Williams; noah.williams@travel-sabre.com; ORD; EWR; UA; 791; Premium Economy; oneWay; 2014-10-29; 
Noah; Williams; noah.williams@travel-sabre.com; EWR; ORD; UA; 197; Premium Economy; oneWay; 2014-11-01; 
Noah; Williams; noah.williams@travel-sabre.com; MUC; XLS; LH; 2400; Economy; oneWay; 2014-11-09; 
Noah; Williams; noah.williams@travel-sabre.com; XLS; MUC; LH; 0042; Economy; oneWay; 2014-11-13; 
Noah; Williams; noah.williams@travel-sabre.com; MEL; BNE; EK; 5624; First; oneWay; 2014-11-21; 
Noah; Williams; noah.williams@travel-sabre.com; BNE; MEL; EK; 4265; First; oneWay; 2014-11-25; 
Noah; Williams; noah.williams@travel-sabre.com; LAX; SEA; UA; 5608; First; roundTrip; 2015-01-01; 2015-01-07
Noah; Williams; noah.williams@travel-sabre.com; GRU; REC; KL; 9504; First; oneWay; 2015-01-13; 
Noah; Williams; noah.williams@travel-sabre.com; REC; GRU; KL; 4059; First; oneWay; 2015-01-16; 
Noah; Williams; noah.williams@travel-sabre.com; ORD; TPA; AS; 6803; Business; roundTrip; 2015-01-26; 2015-01-29
Noah; Williams; noah.williams@travel-sabre.com; ORD; CMH; BA; 5365; Economy; oneWay; 2016-01-01; 
Noah; Williams; noah.williams@travel-sabre.com; CMH; ORD; BA; 5635; Economy; oneWay; 2016-01-05; 
Noah; Williams; noah.williams@travel-sabre.com; DFW; CVG; AF; 2203; Business; roundTrip; 2016-01-13; 2016-01-19
Noah; Williams; noah.williams@travel-sabre.com; ORD; EWR; DL; 5966; First; oneWay; 2016-01-26; 
Noah; Williams; noah.williams@travel-sabre.com; EWR; ORD; DL; 6695; First; oneWay; 2016-01-30; 
Noah; Williams; noah.williams@travel-sabre.com; MEL; ADL; SQ; 6950; Business; roundTrip; 2016-02-06; 2016-02-12
Noah; Williams; noah.williams@travel-sabre.com; LHR; NCL; JL; 7849; Business; roundTrip; 2016-02-18; 2016-02-22
Noah; Williams; noah.williams@travel-sabre.com; ORD; EWR; EY; 3050; First; roundTrip; 2016-03-01; 2016-03-04
Noah; Williams; noah.williams@travel-sabre.com; WAW; NCE; LO; 343; Premium Economy; roundTrip; 2016-03-14; 2016-03-18
Noah; Williams; noah.williams@travel-sabre.com; LHR; DUS; JL; 7701; Economy; oneWay; 2016-03-25; 
Noah; Williams; noah.williams@travel-sabre.com; DUS; LHR; JL; 1077; Economy; oneWay; 2016-03-30; 
Noah; Williams; noah.williams@travel-sabre.com; MEL; LAX; NZ; 9899; Economy; oneWay; 2016-04-06; 
Noah; Williams; noah.williams@travel-sabre.com; LAX; MEL; NZ; 9989; Economy; oneWay; 2016-04-10; 
Noah; Williams; noah.williams@travel-sabre.com; PVG; WNZ; CA; 1968; First; oneWay; 2016-04-18; 
Noah; Williams; noah.williams@travel-sabre.com; WNZ; PVG; CA; 8691; First; oneWay; 2016-04-24; 
Noah; Williams; noah.williams@travel-sabre.com; MUC; FCO; LH; 1846; Premium Economy; oneWay; 2016-04-30; 
Noah; Williams; noah.williams@travel-sabre.com; FCO; MUC; LH; 6481; Premium Economy; oneWay; 2016-05-05; 
Noah; Williams; noah.williams@travel-sabre.com; HND; SIN; NH; 843; Economy; oneWay; 2016-05-12; 
Noah; Williams; noah.williams@travel-sabre.com; SIN; HND; NH; 348; Economy; oneWay; 2016-05-15; 
Noah; Williams; noah.williams@travel-sabre.com; MEL; CNS; JQ; 948; Economy; oneWay; 2016-05-24; 
Noah; Williams; noah.williams@travel-sabre.com; CNS; MEL; JQ; 849; Economy; oneWay; 2016-05-27; 
Noah; Williams; noah.williams@travel-sabre.com; DFW; ORD; AA; 1258; First; roundTrip; 2016-06-06; 2016-06-11
Noah; Williams; noah.williams@travel-sabre.com; ATL; EWR; AM; 5648; Premium Economy; oneWay; 2016-06-17; 
Noah; Williams; noah.williams@travel-sabre.com; EWR; ATL; AM; 8465; Premium Economy; oneWay; 2016-06-21; 
Noah; Williams; noah.williams@travel-sabre.com; ATL; ORD; UA; 5921; Premium Economy; roundTrip; 2016-06-30; 2016-07-06
Noah; Williams; noah.williams@travel-sabre.com; DXB; DMM; QR; 8821; First; roundTrip; 2016-07-11; 2016-07-15
Noah; Williams; noah.williams@travel-sabre.com; JNB; CPT; UA; 7245; Economy; roundTrip; 2016-07-24; 2016-07-31
Noah; Williams; noah.williams@travel-sabre.com; MEL; LAX; NZ; 9899; First; roundTrip; 2016-08-04; 2016-08-09
Noah; Williams; noah.williams@travel-sabre.com; LHR; MAN; AB; 5140; Economy; oneWay; 2016-08-16; 
Noah; Williams; noah.williams@travel-sabre.com; MAN; LHR; AB; 0415; Economy; oneWay; 2016-08-21; 
Noah; Williams; noah.williams@travel-sabre.com; GRU; BSB; AC; 9803; Economy; oneWay; 2016-08-28; 
Noah; Williams; noah.williams@travel-sabre.com; BSB; GRU; AC; 3089; Economy; oneWay; 2016-09-01; 
Noah; Williams; noah.williams@travel-sabre.com; LAX; SAN; AA; 3258; Business; oneWay; 2016-09-09; 
Noah; Williams; noah.williams@travel-sabre.com; SAN; LAX; AA; 8523; Business; oneWay; 2016-09-14; 
Noah; Williams; noah.williams@travel-sabre.com; GRU; CWB; CA; 7113; Business; oneWay; 2016-09-21; 
Noah; Williams; noah.williams@travel-sabre.com; CWB; GRU; CA; 3117; Business; oneWay; 2016-09-25; 
Noah; Williams; noah.williams@travel-sabre.com; DFW; DTW; AA; 1067; Premium Economy; roundTrip; 2016-10-03; 2016-10-06
Noah; Williams; noah.williams@travel-sabre.com; HKG; EWR; AA; 8923; Premium Economy; roundTrip; 2016-10-15; 2016-10-19
Noah; Williams; noah.williams@travel-sabre.com; WAW; FRA; LH; 5717; Economy; roundTrip; 2016-10-27; 2016-10-31
Noah; Williams; noah.williams@travel-sabre.com; LHR; ATL; KL; 6076; Business; oneWay; 2016-11-09; 
Noah; Williams; noah.williams@travel-sabre.com; ATL; LHR; KL; 6706; Business; oneWay; 2016-11-12; 
Noah; Williams; noah.williams@travel-sabre.com; GRU; MAO; AF; 2013; First; roundTrip; 2017-01-01; 2017-01-04
Noah; Williams; noah.williams@travel-sabre.com; LAX; PDX; QR; 4340; First; oneWay; 2017-01-13; 
Noah; Williams; noah.williams@travel-sabre.com; PDX; LAX; QR; 0434; First; oneWay; 2017-01-21; 
Noah; Williams; noah.williams@travel-sabre.com; DXB; MEL; QR; 8406; Business; oneWay; 2017-01-25; 
Noah; Williams; noah.williams@travel-sabre.com; MEL; DXB; QR; 6048; Business; oneWay; 2017-01-28; 
Noah; Williams; noah.williams@travel-sabre.com; ATL; DTW; 9W; 8164; Business; oneWay; 2017-02-07; 
Noah; Williams; noah.williams@travel-sabre.com; DTW; ATL; 9W; 4618; Business; oneWay; 2017-02-11; 
Noah; Williams; noah.williams@travel-sabre.com; HKG; HKT; AC; 9794; Business; oneWay; 2017-02-18; 
Noah; Williams; noah.williams@travel-sabre.com; HKT; HKG; AC; 4979; Business; oneWay; 2017-02-24; 
Noah; Williams; noah.williams@travel-sabre.com; HKG; BKK; 9W; 4820; Premium Economy; roundTrip; 2017-03-03; 2017-03-07
Noah; Williams; noah.williams@travel-sabre.com; LHR; MAD; AA; 6746; Premium Economy; oneWay; 2017-03-14; 
Noah; Williams; noah.williams@travel-sabre.com; MAD; LHR; AA; 6476; Premium Economy; oneWay; 2017-03-18; 
Noah; Williams; noah.williams@travel-sabre.com; HKG; BKK; AC; 9763; Business; roundTrip; 2017-03-26; 2017-03-29
Noah; Williams; noah.williams@travel-sabre.com; HKG; MEL; CX; 105; First; oneWay; 2017-04-08; 
Noah; Williams; noah.williams@travel-sabre.com; MEL; HKG; CX; 501; First; oneWay; 2017-04-12; 
Noah; Williams; noah.williams@travel-sabre.com; HKG; KUL; EY; 2722; Economy; roundTrip; 2017-04-19; 2017-04-22
Noah; Williams; noah.williams@travel-sabre.com; MUC; CDG; AF; 1623; Premium Economy; roundTrip; 2017-05-01; 2017-05-04
Noah; Williams; noah.williams@travel-sabre.com; DFW; IAD; AA; 1460; First; roundTrip; 2017-05-13; 2017-05-20
Noah; Williams; noah.williams@travel-sabre.com; ORD; BDL; BA; 4688; Premium Economy; oneWay; 2017-05-26; 
Noah; Williams; noah.williams@travel-sabre.com; BDL; ORD; BA; 8864; Premium Economy; oneWay; 2017-05-31; 
Noah; Williams; noah.williams@travel-sabre.com; MEL; WLG; MU; 8437; First; roundTrip; 2017-06-07; 2017-06-11
Noah; Williams; noah.williams@travel-sabre.com; ORD; OKC; JL; 7398; Economy; roundTrip; 2017-06-18; 2017-06-21
Noah; Williams; noah.williams@travel-sabre.com; GRU; POA; UA; 7359; First; roundTrip; 2017-07-01; 2017-07-08
Noah; Williams; noah.williams@travel-sabre.com; ATL; EWR; WN; 5017; Business; oneWay; 2017-07-13; 
Noah; Williams; noah.williams@travel-sabre.com; EWR; ATL; WN; 7105; Business; oneWay; 2017-07-16; 
Noah; Williams; noah.williams@travel-sabre.com; ORD; ICT; AC; 4289; Business; roundTrip; 2017-07-25; 2017-07-28
Noah; Williams; noah.williams@travel-sabre.com; LHR; EDI; BA; 1454; Business; oneWay; 2017-08-06; 
Noah; Williams; noah.williams@travel-sabre.com; EDI; LHR; BA; 4541; Business; oneWay; 2017-08-09; 

Ethan; White; ethan.white@travel-sabre.com; ORD; SAN; AS; 6972; Economy; oneWay; 2008-01-02; 
Ethan; White; ethan.white@travel-sabre.com; SAN; ORD; AS; 2796; Economy; oneWay; 2008-01-05; 
Ethan; White; ethan.white@travel-sabre.com; ATL; MSY; AR; 7054; First; roundTrip; 2008-01-14; 2008-01-18
Ethan; White; ethan.white@travel-sabre.com; JNB; DXB; EK; 768; Premium Economy; roundTrip; 2008-01-26; 2008-02-02
Ethan; White; ethan.white@travel-sabre.com; LAX; MSP; VA; 6617; First; roundTrip; 2008-02-06; 2008-02-13
Ethan; White; ethan.white@travel-sabre.com; WAW; VIE; OS; 626; Economy; roundTrip; 2008-02-19; 2008-02-22
Ethan; White; ethan.white@travel-sabre.com; LHR; EWR; AY; 5515; Premium Economy; roundTrip; 2008-03-01; 2008-03-09
Ethan; White; ethan.white@travel-sabre.com; MEL; HBA; SQ; 6576; Economy; roundTrip; 2008-03-13; 2008-03-16
Ethan; White; ethan.white@travel-sabre.com; LAX; EWR; NZ; 9513; First; oneWay; 2008-03-26; 
Ethan; White; ethan.white@travel-sabre.com; EWR; LAX; NZ; 3159; First; oneWay; 2008-03-30; 
Ethan; White; ethan.white@travel-sabre.com; ATL; EWR; DL; 413; Premium Economy; roundTrip; 2008-04-07; 2008-04-11
Ethan; White; ethan.white@travel-sabre.com; ORD; LHR; AY; 5752; Economy; oneWay; 2008-04-18; 
Ethan; White; ethan.white@travel-sabre.com; LHR; ORD; AY; 2575; Economy; oneWay; 2008-04-22; 
Ethan; White; ethan.white@travel-sabre.com; ATL; CLE; DL; 1158; First; oneWay; 2008-05-01; 
Ethan; White; ethan.white@travel-sabre.com; CLE; ATL; DL; 8511; First; oneWay; 2008-05-07; 
Ethan; White; ethan.white@travel-sabre.com; MEL; ADL; EK; 5693; First; roundTrip; 2008-05-12; 2008-05-15
Ethan; White; ethan.white@travel-sabre.com; HKG; SIN; VA; 5642; First; oneWay; 2009-01-02; 
Ethan; White; ethan.white@travel-sabre.com; SIN; HKG; VA; 2465; First; oneWay; 2009-01-06; 
Ethan; White; ethan.white@travel-sabre.com; PVG; SAW; CA; 5233; First; oneWay; 2010-01-02; 
Ethan; White; ethan.white@travel-sabre.com; SAW; PVG; CA; 3325; First; oneWay; 2010-01-10; 
Ethan; White; ethan.white@travel-sabre.com; GRU; CNF; O6; 6156; First; oneWay; 2010-01-13; 
Ethan; White; ethan.white@travel-sabre.com; CNF; GRU; O6; 6516; First; oneWay; 2010-01-19; 
Ethan; White; ethan.white@travel-sabre.com; HKG; PEK; CX; 6112; Business; roundTrip; 2010-01-25; 2010-01-28
Ethan; White; ethan.white@travel-sabre.com; LAX; SAN; DL; 4571; Business; oneWay; 2010-02-06; 
Ethan; White; ethan.white@travel-sabre.com; SAN; LAX; DL; 1754; Business; oneWay; 2010-02-12; 
Ethan; White; ethan.white@travel-sabre.com; DFW; MEX; BA; 4939; First; oneWay; 2010-02-18; 
Ethan; White; ethan.white@travel-sabre.com; MEX; DFW; BA; 9394; First; oneWay; 2010-02-22; 
Ethan; White; ethan.white@travel-sabre.com; WAW; CPH; SK; 2752; Economy; oneWay; 2010-03-02; 
Ethan; White; ethan.white@travel-sabre.com; CPH; WAW; SK; 2572; Economy; oneWay; 2010-03-07; 
Ethan; White; ethan.white@travel-sabre.com; GRU; PTY; EK; 4784; Premium Economy; roundTrip; 2010-03-14; 2010-03-20
Ethan; White; ethan.white@travel-sabre.com; HKG; TPE; KA; 5430; Business; oneWay; 2010-03-26; 
Ethan; White; ethan.white@travel-sabre.com; TPE; HKG; KA; 0345; Business; oneWay; 2010-03-30; 
Ethan; White; ethan.white@travel-sabre.com; ORD; MCI; AA; 2951; Premium Economy; roundTrip; 2010-04-07; 2010-04-12
Ethan; White; ethan.white@travel-sabre.com; ATL; DFW; AM; 4992; Premium Economy; roundTrip; 2010-04-19; 2010-04-25
Ethan; White; ethan.white@travel-sabre.com; LHR; MAD; LA; 5483; Business; oneWay; 2010-05-01; 
Ethan; White; ethan.white@travel-sabre.com; MAD; LHR; LA; 3845; Business; oneWay; 2010-05-05; 
Ethan; White; ethan.white@travel-sabre.com; DXB; HAN; EK; 394; Economy; roundTrip; 2010-05-13; 2010-05-19
Ethan; White; ethan.white@travel-sabre.com; ORD; EWR; TP; 8481; Business; roundTrip; 2010-05-25; 2010-05-30
Ethan; White; ethan.white@travel-sabre.com; LAX; EWR; EY; 3361; Economy; oneWay; 2010-06-06; 
Ethan; White; ethan.white@travel-sabre.com; EWR; LAX; EY; 1633; Economy; oneWay; 2010-06-11; 
Ethan; White; ethan.white@travel-sabre.com; LHR; NCL; BA; 1336; Premium Economy; roundTrip; 2010-06-18; 2010-06-22
Ethan; White; ethan.white@travel-sabre.com; LAX; SFO; AA; 6017; First; roundTrip; 2010-07-01; 2010-07-04
Ethan; White; ethan.white@travel-sabre.com; WAW; BRU; LO; 231; Premium Economy; roundTrip; 2010-07-12; 2010-07-16
Ethan; White; ethan.white@travel-sabre.com; ATL; PDX; G3; 8124; Premium Economy; oneWay; 2010-07-25; 
Ethan; White; ethan.white@travel-sabre.com; PDX; ATL; G3; 4218; Premium Economy; oneWay; 2010-07-29; 
Ethan; White; ethan.white@travel-sabre.com; LHR; CPH; AC; 9967; First; oneWay; 2010-08-05; 
Ethan; White; ethan.white@travel-sabre.com; CPH; LHR; AC; 7699; First; oneWay; 2010-08-08; 
Ethan; White; ethan.white@travel-sabre.com; ATL; IAD; WN; 4926; Economy; oneWay; 2010-08-17; 
Ethan; White; ethan.white@travel-sabre.com; IAD; ATL; WN; 6294; Economy; oneWay; 2010-08-21; 
Ethan; White; ethan.white@travel-sabre.com; GRU; SCL; JJ; 8203; Premium Economy; oneWay; 2010-08-29; 
Ethan; White; ethan.white@travel-sabre.com; SCL; GRU; JJ; 3028; Premium Economy; oneWay; 2010-09-01; 
Ethan; White; ethan.white@travel-sabre.com; ATL; MSP; DL; 888; Economy; oneWay; 2010-09-10; 
Ethan; White; ethan.white@travel-sabre.com; MSP; ATL; DL; 888; Economy; oneWay; 2010-09-18; 
Ethan; White; ethan.white@travel-sabre.com; DFW; CVG; AF; 2203; First; roundTrip; 2010-09-22; 2010-09-25
Ethan; White; ethan.white@travel-sabre.com; GRU; POA; G3; 1240; First; roundTrip; 2010-10-04; 2010-10-07
Ethan; White; ethan.white@travel-sabre.com; ORD; TPA; GF; 4347; First; oneWay; 2010-10-16; 
Ethan; White; ethan.white@travel-sabre.com; TPA; ORD; GF; 7434; First; oneWay; 2010-10-21; 
Ethan; White; ethan.white@travel-sabre.com; MEL; MQL; SQ; 6600; Business; roundTrip; 2010-10-28; 2010-11-01
Ethan; White; ethan.white@travel-sabre.com; ORD; PHX; AA; 603; First; oneWay; 2011-01-02; 
Ethan; White; ethan.white@travel-sabre.com; PHX; ORD; AA; 306; First; oneWay; 2011-01-05; 
Ethan; White; ethan.white@travel-sabre.com; ORD; LAX; EY; 3036; Business; roundTrip; 2011-01-14; 2011-01-17
Ethan; White; ethan.white@travel-sabre.com; DFW; EWR; AA; 2216; Economy; roundTrip; 2011-01-25; 2011-02-02
Ethan; White; ethan.white@travel-sabre.com; HKG; PEK; CA; 6604; Economy; oneWay; 2011-02-06; 
Ethan; White; ethan.white@travel-sabre.com; PEK; HKG; CA; 4066; Economy; oneWay; 2011-02-12; 
Ethan; White; ethan.white@travel-sabre.com; LAX; YVR; WS; 1697; Business; oneWay; 2011-02-19; 
Ethan; White; ethan.white@travel-sabre.com; YVR; LAX; WS; 7961; Business; oneWay; 2011-02-22; 
Ethan; White; ethan.white@travel-sabre.com; DXB; LIS; TP; 6730; Premium Economy; roundTrip; 2011-03-03; 2011-03-06
Ethan; White; ethan.white@travel-sabre.com; ORD; STL; AS; 4374; Business; oneWay; 2011-03-15; 
Ethan; White; ethan.white@travel-sabre.com; STL; ORD; AS; 4734; Business; oneWay; 2011-03-18; 
Ethan; White; ethan.white@travel-sabre.com; ORD; LAX; NZ; 9684; Business; oneWay; 2011-03-27; 
Ethan; White; ethan.white@travel-sabre.com; LAX; ORD; NZ; 4869; Business; oneWay; 2011-04-01; 
Ethan; White; ethan.white@travel-sabre.com; PVG; WUH; KL; 4410; Business; oneWay; 2011-04-08; 
Ethan; White; ethan.white@travel-sabre.com; WUH; PVG; KL; 0144; Business; oneWay; 2011-04-12; 
Ethan; White; ethan.white@travel-sabre.com; HKG; TPE; KA; 5400; Business; roundTrip; 2011-04-20; 2011-04-24
Ethan; White; ethan.white@travel-sabre.com; ATL; GRR; DL; 751; Economy; roundTrip; 2011-05-01; 2011-05-05
Ethan; White; ethan.white@travel-sabre.com; ATL; FLL; WN; 5620; Business; roundTrip; 2011-05-13; 2011-05-16
Ethan; White; ethan.white@travel-sabre.com; JNB; CPT; BA; 6417; First; oneWay; 2011-05-26; 
Ethan; White; ethan.white@travel-sabre.com; CPT; JNB; BA; 7146; First; oneWay; 2011-05-29; 
Ethan; White; ethan.white@travel-sabre.com; ATL; JAX; AM; 4137; Premium Economy; oneWay; 2011-06-07; 
Ethan; White; ethan.white@travel-sabre.com; JAX; ATL; AM; 7314; Premium Economy; oneWay; 2011-06-13; 
Ethan; White; ethan.white@travel-sabre.com; GRU; GIG; TP; 5090; First; roundTrip; 2011-06-19; 2011-06-23
Ethan; White; ethan.white@travel-sabre.com; DXB; AMM; EK; 903; First; oneWay; 2011-07-01; 
Ethan; White; ethan.white@travel-sabre.com; AMM; DXB; EK; 309; First; oneWay; 2011-07-06; 
